year,origin,amount
1992,BTR,8182
1992,SNA,27319
1992,HDN,471
1992,COS,11127
1992,SGF,1701
1992,PSP,5131
1992,MLI,3341
1992,SJC,38993
1992,PUB,286
1992,SUX,1554
1992,OGG,2952
1992,KOA,708
1992,BOI,6128
1992,LIH,314
1992,SBA,3127
1992,FAT,4087
1992,LGB,5918
1992,BGR,2520
1992,HVN,1344
1992,EUG,2906
1992,LNK,2852
1992,PIA,1289
1992,FAI,4084
1992,MRY,1126
1992,MFR,1353
1992,GJT,944
1992,GUM,3496
1992,ROP,663
1992,JNU,4179
1992,MLU,2515
1992,JAN,7725
1992,SHV,5866
1992,CSG,1014
1992,IDA,1680
1992,PFN,1071
1992,JAC,2245
1992,FCA,837
1992,STT,2603
1992,CPR,1062
1992,BTM,707
1992,GUC,212
1992,PSC,1079
1992,HLN,1076
1992,FLG,1690
1992,YUM,1073
1992,DRO,638
1992,EGE,336
1992,MFE,2964
1992,BFL,714
1992,STX,2273
1992,SPI,571
1992,BLI,186
1992,BET,646
1992,SCC,964
1992,OME,1008
1992,OTZ,1013
1992,KTN,2474
1992,CDV,692
1992,YAK,671
1992,SIT,1420
1992,PSG,671
1992,WRG,672
1992,SPN,2247
1992,LFT,1015
1992,ROR,408
1992,LWB,85
1992,BRW,273
1992,AKN,330
1992,DLG,309
1992,GST,79
1992,ADQ,85
1992,ANI,43
1992,KSM,42
1992,MTJ,2
1993,EWR,113486
1993,MCO,81391
1993,PIT,122740
1993,DTW,127808
1993,LGA,103551
1993,TPA,55376
1993,DCA,87948
1993,DFW,260475
1993,BWI,52581
1993,CLE,55812
1993,CLT,117805
1993,GSO,17196
1993,SAN,60464
1993,JAX,18076
